ticket,category,ticket_id,priority,submitted_by_dept,timestamp
"hi, facing an issue while trying to check the employee handbook. please advise.",HR Query,TCK1521,Medium,HR,2026-01-22
"hi, the server is pending. thanks.",Access Request,TCK1737,Medium,HR,2026-11-11
My VPN access is required. Please help. Regards.,Access Request,TCK1740,Medium,Sales,2026-08-12
Please help me connect the scanner. Regards.,Printer Issue,TCK1660,Low,IT,2026-12-28
The email account is not working.,Email Issue,TCK1411,Low,IT,2026-12-09
"Hi team, My HP printer is ink low. Please help.",Printer Issue,TCK1678,Medium,Finance,2026-12-11
Please resolve my network drive; it is slow.,Network Issue,TCK1626,Medium,HR,2026-03-09
FYI - Can you submit my HR policy?,HR Query,TCK1513,Medium,HR,2026-01-03
Employee portal password is not working Regards.,Password Reset,TCK1859,Medium,Sales,2026-07-30
"Hi team, My leave request is incorrect. Please help.",Leave Management,TCK1136,Low,Sales,2026-02-16
Urgent: Unable to issue my office party because it is required. Kindly help asap.,Unclassified,TCK1811,High,Finance,2026-02-19
"Hello, My company portal is timed out. Please help.",Login Issue,TCK1076,High,Sales,2026-12-29
Can you scan my printer?,Printer Issue,TCK1636,Medium,IT,2026-08-27
"Hi, Unable to correct my attendance log because it is not updated. Regards.",Attendance,TCK1973,High,Finance,2026-02-15
Facing an issue while trying to update the Postman.,Software Installation,TCK1938,High,HR,2026-02-14
"hi, need access to github repo, request pending approval",Access Request,TCK1899,Low,Marketing,2026-04-21
Can you access my office VPN?,VPN Issue,TCK1280,Low,Sales,2026-10-09
urgent: network printer not detected on office wifi,Printer Issue,TCK1883,Medium,Sales,2026-07-31
FYI - Unable to report my phishing email because it is needs verification. Kindly help asap.,Security/Phishing,TCK1761,Medium,Finance,2026-11-12
unable to update my postman because it is upgrade required.,Software Installation,TCK1319,High,HR,2026-08-19
Can you check my keyboard?,Hardware Issue,TCK1549,High,IT,2026-12-27
FYI - My salary is pending. Please help. Thanks.,Payroll,TCK1174,High,Operations,2026-07-17
Urgent: My calendar is login failed. Please help. Thanks.,Email Issue,TCK1371,Low,Sales,2026-09-09
"Hello, The medical claim is update required.",HR Query,TCK1527,Medium,HR,2026-10-30
FYI - I need to check my income statement. It is calculation error.,Payroll,TCK1210,High,HR,2026-11-10
I need to verify my check-out. It is not updated.,Attendance,TCK1235,Medium,Marketing,2026-11-10
Facing an issue while trying to login the company portal. Kindly help asap.,Login Issue,TCK1101,Low,HR,2026-06-18
facing an issue while trying to update the domain password. thanks.,Password Reset,TCK1986,Medium,Finance,2026-11-03
"Hi, Received suspicious email asking to reset my password Please advise.",Security/Phishing,TCK1902,High,Operations,2026-08-23
Please help me question the ID card. Please advise.,Unclassified,TCK1947,Low,Finance,2026-05-14
Unable to download my Python because it is failed. Thanks.,Software Installation,TCK1346,Low,IT,2026-06-10
Unable to apply my annual leave because it is incorrect. Thanks.,Leave Management,TCK1139,Low,HR,2026-01-08
FYI - Please resolve my router; it is slow.,Network Issue,TCK1621,Medium,Operations,2026-12-26
Request to view the transfer policy. Regards.,HR Query,TCK1499,Low,Operations,2026-08-06
"Hi team, The Python is installation error. Please advise.",Software Installation,TCK1370,High,Operations,2026-01-05
Urgent: My payroll is delayed. Please help. Thanks.,Payroll,TCK1198,Medium,Sales,2026-08-14
"Hi, Unable to scan my office printer because it is offline.",Printer Issue,TCK1687,High,IT,2026-01-03
Unable to use my internet because it is packet loss. Thanks.,Network Issue,TCK1584,Medium,Sales,2026-06-03
"Need access to GitHub repo, request pending approval Thanks.",Access Request,TCK1901,Medium,HR,2026-11-13
Request to sign in the employee portal.,Login Issue,TCK1059,High,Marketing,2026-11-01
"hello, need urgent help to download the chrome.",Software Installation,TCK1328,Low,Finance,2026-01-17
Can you sign in my employee portal?,Login Issue,TCK1096,High,Marketing,2026-05-28
Unable to open my VPN because it is error.,VPN Issue,TCK1312,Medium,IT,2026-01-06
Need urgent help to need the server. Thanks.,Access Request,TCK1974,Medium,Operations,2026-05-23
Please help me access the remote network.,VPN Issue,TCK1299,Low,IT,2026-02-15
"Hi, Request to login the GlobalProtect VPN.",VPN Issue,TCK1277,Medium,Finance,2026-07-04
